Category,Population,SD
Total Females,"708017",1848
Under 5 years,"41583",836
5 to 9 years,"41547",2645
10 to 14 years,"39916",2429
15 to 17 years,"22562",1034
18 and 19 years,"13837",1066
20 years,"5891",1148
21 years,"7750",1086
22 to 24 years,"26840",1540
25 to 29 years,"47701",574
30 to 34 years,"45241",808
35 to 39 years,"52276",3122
40 to 44 years,"40750",2960
45 to 49 years,"41455",1039
50 to 54 years,"42386",869
55 to 59 years,"43270",2324
60 and 61 years,"16179",1632
62 to 64 years,"31100",2195
65 and 66 years,"19899",2018
67 to 69 years,"24059",1748
70 to 74 years,"35652",2228
75 to 79 years,"27480",1830
80 to 84 years,"16014",1663
85 years and over,"24629",1774
