Category,Population,SD
Total Males,"707855",1848
Under 5 years,"43752",927
5 to 9 years,"42919",2489
10 to 14 years,"42690",2575
15 to 17 years,"25218",1309
18 and 19 years,"16080",1147
20 years,"10071",1899
21 years,"10370",1413
22 to 24 years,"28178",2409
25 to 29 years,"52679",693
30 to 34 years,"50160",810
35 to 39 years,"49136",3090
40 to 44 years,"42971",3071
45 to 49 years,"41774",460
50 to 54 years,"42564",1080
55 to 59 years,"44139",2580
60 and 61 years,"17608",1701
62 to 64 years,"25809",2429
65 and 66 years,"18140",1878
67 to 69 years,"23089",1884
70 to 74 years,"32399",2048
75 to 79 years,"22216",1881
80 to 84 years,"12854",1624
85 years and over,"13039",1524
